-1,city,lat,lng,country
502,Vecpiebalga,57.0618,25.8179,Latvia
503,Smiltene,57.4242,25.9017,Latvia
504,Drabeši,57.2433,25.2803,Latvia
505,Cēsis,57.3091,25.2761,Latvia
506,Ērgļi,56.8988,25.6429,Latvia
507,Valka,57.7767,26.0118,Latvia
508,Grobiņa,56.5358,21.1747,Latvia
509,Strenči,57.6269,25.6919,Latvia
510,Mūrmuiža,57.4731,25.4917,Latvia
511,Mazsalaca,57.8619,25.0547,Latvia
512,Aloja,57.7672,24.8774,Latvia
513,Burtnieki,57.6949,25.2750,Latvia
514,Koknese,56.6516,25.4364,Latvia
515,Aizkraukle,56.6029,25.2636,Latvia
516,Skrīveri,56.6485,25.1195,Latvia
517,Baldone,56.7445,24.4008,Latvia
518,Vecumnieki,56.6061,24.5223,Latvia
519,Sala,56.5047,25.7618,Latvia
520,Pļaviņas,56.6177,25.7194,Latvia
521,Liepaga,56.5100,21.0100,Latvia
522,Rūjiena,57.8961,25.3342,Latvia
523,Naukšēni,57.8842,25.4580,Latvia
524,Lieģi,56.5797,21.3338,Latvia
525,Rauna,57.3337,25.6085,Latvia
526,Aizpute,56.7211,21.6016,Latvia
527,Kocēni,57.5198,25.3404,Latvia
528,Valmiera,57.5387,25.4257,Latvia
529,Sigulda,57.1538,24.8595,Latvia
530,Priekuļi,57.3115,25.3571,Latvia
531,Ogre,56.8113,24.6113,Latvia
532,Ragana,57.1821,24.7056,Latvia
533,Loja,57.1534,24.6433,Latvia
534,Ropaži,56.9747,24.6329,Latvia
535,Priekule,56.4458,21.5939,Latvia
536,Rucava,56.1640,21.1627,Latvia
537,Salaspils,56.8610,24.3498,Latvia
538,Ikšķile,56.8340,24.4968,Latvia
539,Inčukalns,57.0987,24.6863,Latvia
540,Mālpils,57.0101,24.9578,Latvia
541,Olaine,56.7947,23.9358,Latvia
542,Ķekava,56.8296,24.2318,Latvia
543,Līgatne,57.2379,25.0436,Latvia
544,Stalbe,57.3708,25.0324,Latvia
545,Vaiņode,56.4185,21.8541,Latvia
546,Tripoli,32.8925,13.1800,Libya
547,Gharyan,32.1704,13.0200,Libya
548,Surt,31.2100,16.5900,Libya
549,Marzuq,25.9044,13.8972,Libya
550,Sabha,27.0333,14.4333,Libya
551,Misratah,32.3800,15.1000,Libya
552,Al ‘Azīzīyah,32.5319,13.0175,Libya
553,Zuwarah,32.9344,12.0791,Libya
554,Nalut,31.8804,10.9700,Libya
555,Hun,29.1167,15.9333,Libya
556,Darnah,32.7648,22.6391,Libya
557,Al Bayda,32.7604,21.6200,Libya
558,Az Zawiyah,32.7604,12.7200,Libya
559,Tajarhi,24.3704,14.4708,Libya
560,Al Jaghbub,29.7504,24.5166,Libya
561,Awjilah,29.1080,21.2869,Libya
562,Al Khums,32.6604,14.2600,Libya
563,Ajdabiya,30.7700,20.2200,Libya
564,Al Kufrah,24.1667,23.2696,Libya
